,title,price,description,link,Image,categorie
0,3 CHÊNES COLOR ET SOIN COLORATION,29.980 TND TTC,"

Soin extrême et repigmentant des cheveux naturel et sans parabène
Répare, corrige, Restructure, Embellit et Protège la fibre capillaire et surtout recharge en pigments la fibre capillaire.

",https://anais.tn/produit/3-chenes-color-soin-coloration/,https://anais.tn/wp-content/uploads/2020/11/coloration-min.jpg,Cheveux
1,ACM NOVOPHANE DS SHAMPOING- PELLICULES MODÉRÉES,32.790 TND TTC,"

Son action antipelliculaire complète est recommandée pour les pellicules sèches ou grasses, les squames et les démangeaisons. 
Son complexe antifongique à base de pyrithione zinc et piroctone olamine limite la prolifération des levures de type Malassezia, levure principalement responsable de l’apparition des pellicules. 
Il lutte contre leur prolifération et prévient leur réapparition.
 Les squames sont éliminées par l’acide salicylique. 
Le cuir chevelu est assaini sans être desséché, les démangeaisons et irritations disparaissent.

",https://anais.tn/produit/acm-novophane-ds-shampooing-pellicules-moderees/,https://anais.tn/wp-content/uploads/2020/10/79d50a0acda112d1c3d70f23a5585edd-min.jpg,Cheveux
2,ACM NOVOPHANE DS SHAMPOING-CHEVEUX SECS,34.200 TND TTC,"

Grâce à une association synergique d’actifs assurant une hydratation intense et durable, il nourrit les cheveux en profondeur sans les alourdir. 
Il les répare et renforce leur résistance tout en les protégeant des agressions extérieures.
 Les cheveux sont revitalisés, plus doux et retrouvent tout l’éclat.

",https://anais.tn/produit/acm-novophane-shampooing-cheveux-secs/,https://anais.tn/wp-content/uploads/2020/10/xsjaZravta63ZaGXnmWiuxVbqbjUeUYlJA9QMiSI-compressed.jpg,Cheveux
3,ACM NOVOPHANE GÉLULES,47.120 TND TTC,"

Chute de cheveux passagère ou saisonnière, altération de la qualité des cheveux, ongles fragiles, mous, dédoublés, cassants, Novophane gélules formule renforcée contient une formule très complète avec des acides aminés, vitamines, minéraux et silicium végétal pour maintenir les cheveux et les ongles en bonne santé et les rendre plus résistants.
La Biotine et le Zinc contribuent au maintien d’une belle chevelure.
 Le Zinc contribue au maintien de beaux ongles. 
La vitamine B6 contribue à la synthèse normale de la cystéine.
 Le Cuivre contribue à la pigmentation normale des cheveux.

",https://anais.tn/produit/novophane-gelules/,https://anais.tn/wp-content/uploads/2020/10/novophane_antica__da_acm_60_c__psulas222075_-min.jpg,Cheveux
4,ACM NOVOPHANE K SHAMPOING – PELLICULES SÉVÈRES,32.790 TND TTC,"

Novophane.K possède une action antipelliculaire complète pour lutter contre les états pelliculaires sévères avec démangeaisons.  
Son complexe antifongique à base de pyrithione zinc et piroctone olamine limite la prolifération des levures de type Malassezia, levure principalement responsable de l’apparition des pellicules. Novophane.K élimine les pellicules tout en prévenant leur réapparition grâce à l’huile essentielle de cade et réduit les démangeaisons. 
Les squames sont éliminées par l’acide salicylique. 
Le cuir chevelu est assaini, les irritations disparaissent.  

",https://anais.tn/produit/acm-novophane-k-shampooing-pellicules-severes/,https://anais.tn/wp-content/uploads/2020/10/novophane-k-shampooing-anti-pelliculaire-shampooing-125ml.d40095-min.jpg,Cheveux
5,ACM NOVOPHANE LOTION ANTI-CHUTE,71.490 TND TTC,"

Stress, fatigue, changement de saison, grossesse, pollution peuvent entraîner une chute de cheveux passagère.
 Novophane Lotion antichute permet de ralentir visiblement la chute des cheveux et d’en stimuler la repousse pour une efficacité visible dès 6 semaines

",https://anais.tn/produit/acm-novophane-lotion-anti-chute/,https://anais.tn/wp-content/uploads/2020/10/acm-novophane-lotion-anti-chute-cheveux-100-ml-produit-min.jpg,Cheveux
6,ACM NOVOPHANE SHAMPOOING ÉNERGISANT,32.700 TND TTC,"

Grâce à son association de 6 vitamines aux propriétés stimulantes et fortifiantes pour les cheveux et le cuir chevelu, le shampooing énergisant NOVOPHANE nettoie en douceur et apporte une action stimulante aux cheveux et cuirs chevelus fragilisés. 
Il redonne volume, force et vigueur aux cheveux et peut s’utiliser aussi souvent que nécessaire.

",https://anais.tn/produit/acm-novophane-shampooing-energisant/,https://anais.tn/wp-content/uploads/2020/10/acm-novophane-complements-de-traitements-anti-chute-200-ml-face-min.jpg,Cheveux
7,AKTIV CAPILVIT 30 GELULES,30.900 TND TTC,"

Combinaison spéciale d‘extrait de sorgho, d‘huile de germe de blé, de biotine, de vitamine B6, de zinc et d’acide pantothénique, élaborée pour des cheveux forts et en bonne santé. 
Capilvit® aide à: Stopper la chute de cheveux et favoriser la pousse Soutenir la synthèse de la kératine Renforcer les cheveux .

",https://anais.tn/produit/aktiv-capilvit-30-gelules/,https://anais.tn/wp-content/uploads/2020/05/Capilvit-1-600x600-1.png,Cheveux
8,AKTIV ZINC+HISTIDINE 30 COMPRIMES,32.050 TND TTC,"

Le zinc est un oligo-élément essentiel.
Traiter certains problèmes de la peau comme l’acné 
Ralentir le vieillissement de la peau 
Favoriser la bonne santé des cheveux 
Renforcer le système immunitaire 
Sans gluten ni lactose .
Zinc + Histidine de Doppelherz® Aktiv associe le zinc à l’histidine pour une assimilation optimale .

",https://anais.tn/produit/aktiv-zinchistidine-30-comprimes/,https://anais.tn/wp-content/uploads/2020/05/90727143_DH_Zink_Histidin_30er_rechts_TN.jpeg,Cheveux
9,ALANIA APRES SHAMPOING,37.150 TND 30.980 TND TTC,"

Incontournable allié des cheveux fragilisés, l’après shampooing réparateur Prodige d’Alania soigne et revitalise votre chevelure fatiguée.
Sa formule riche et complète démêlé, adoucit et nourrit les cheveux en les rendant soyeux, brillants et vigoureux.

",https://anais.tn/produit/alania-apres-shampoing/,https://anais.tn/wp-content/uploads/2021/01/compressed-otac.jpg,Cheveux
10,ALANIA BAIN DE HUILE,29.600 TND TTC,"

Véritable source de nutriments, vitamines (C, D, niacine…) et autres acides gras, le bain d’huile « Jardin Secret » constitue un véritable allié pour la santé de vos cheveux.
Sa riche teneur en shikakai permet de lutter contre la chute des cheveux et les pointes sèches.
Les multiples propriétés nutritives de ses composants, apportent douceur, brillance et volume à vos cheveux.
Ce soin vous assure une hydratation en profondeur et une protection contre les agressions du quotidien.

",https://anais.tn/produit/alania-bain-de-huile/,https://anais.tn/wp-content/uploads/2021/01/compressed-t1qd.jpg,Cheveux
11,ALANIA COFFRET,102.840 TND TTC,"
ALANIA COFFRET REPARATEUR PRODIGE contient:

Sérum: Incontournable allié des cheveux fragilisés, l’après-shampooing « Réparateur Prodige » d’Alania soigne et revitalise votre chevelure fatiguée.
Le shampooing:« Réparateur Prodige » d’Alania est un véritable soin revitalisant et anti-chute.
Masque: Véritable soin capillaire, le masque « Réparateur Prodige » d’Alania apporte brillance, hydratation et souplesse à vos cheveux.

",https://anais.tn/produit/coffret-alania/,https://anais.tn/wp-content/uploads/2021/01/optimized-qkd4.jpg,Cheveux
