title,price,description,link,Image,categorie
ACM NOVOPHANE GÉLULES,47.120 TND TTC,"

Chute de cheveux passagère ou saisonnière, altération de la qualité des cheveux, ongles fragiles, mous, dédoublés, cassants, Novophane gélules formule renforcée contient une formule très complète avec des acides aminés, vitamines, minéraux et silicium végétal pour maintenir les cheveux et les ongles en bonne santé et les rendre plus résistants.
La Biotine et le Zinc contribuent au maintien d’une belle chevelure.
 Le Zinc contribue au maintien de beaux ongles. 
La vitamine B6 contribue à la synthèse normale de la cystéine.
 Le Cuivre contribue à la pigmentation normale des cheveux.

",https://anais.tn/produit/novophane-gelules/,https://anais.tn/wp-content/uploads/2020/10/novophane_antica__da_acm_60_c__psulas222075_-min.jpg,Complements
AKTIV A-Z 30 COMPRIMES,32.100 TND TTC,"

Une cure de 13 vitamines et de 14 minéraux pour retrouver la forme et rester en bonne santé.
Recommandé pour les régimes Une libération progressive des nutriments grâce à un enrobage spécial, permettant ainsi une meilleure assimilation des nutriments tout au long de la journée ​.

",https://anais.tn/produit/aktiv-a-z-30-comprimes/,https://anais.tn/wp-content/uploads/2020/05/AZ-600x600-1.png,Complements
AKTIV AKTIV-ARTRO 30 GELULES,36.900 TND TTC,"

Préconisées pour la santé du cartilage et le maintien de la mobilité articulaire, notamment en cas de sollicitation importante des articulations, de douleur ou de gêne fonctionnelle liées à l’activité physique, à la surcharge pondérale ou à l’arthrose.

",https://anais.tn/produit/aktiv-aktiv-artro-30-gelules/,https://anais.tn/wp-content/uploads/2020/05/aktiv-artro-1-600x600-1.png,Complements
AKTIV AKTIV-MENO 30 COMPRIMES,37.950 TND TTC,"

Fournit du calcium, des vitamines B, de la vitamine D3, et des isoflavones de soja pour aider les femmes à se sentir bien durant la période de la ménopause tout en couvrant leurs besoins nutritionnels spécifiques. 
La prise d’Aktiv-Meno n’entraîne pas d’effets secondaires comme ceux associés à la prise d’un traitement hormonal substitutif.
Aktiv-Meno aide à: Lutter contre les bouffées de chaleur Prévenir l’ostéoporose Favoriser la santé et l’aspect de la peau, des ongles et des cheveux.

",https://anais.tn/produit/aktiv-aktiv-meno-30-comprimes/,https://anais.tn/wp-content/uploads/2020/05/aktiv-meno-600x600-1.png,Complements
AKTIV CAPILVIT 30 GELULES,30.900 TND TTC,"

Combinaison spéciale d‘extrait de sorgho, d‘huile de germe de blé, de biotine, de vitamine B6, de zinc et d’acide pantothénique, élaborée pour des cheveux forts et en bonne santé. 
Capilvit® aide à: Stopper la chute de cheveux et favoriser la pousse Soutenir la synthèse de la kératine Renforcer les cheveux .

",https://anais.tn/produit/aktiv-capilvit-30-gelules/,https://anais.tn/wp-content/uploads/2020/05/Capilvit-1-600x600-1.png,Complements
AKTIV DIABEVIT 30 COMPRIMES,32.900 TND TTC,"

Combinaison de vitamines, de minéraux et d‘oligo-éléments qui a été spécialement développée pour les personnes diabétiques .
Formule basée sur des résultats scientifiques, sans gluten ni lactose. 

",https://anais.tn/produit/aktiv-diabevit-30-comprimes/,https://anais.tn/wp-content/uploads/2020/05/Diabevit-600x600-1.png,Complements
AKTIV HARMONIVIT 30 COMPRIMES,31.900 TND TTC,"

Formule à base de plante, Anti-Stress ! 
Harmonivit® est une combinaison d‘extraits de ginkgo, de mélisse et de vitamines B qui aide à mieux surmonter le stress de la vie quotidienne. 
Grâce à sa formule à base de plante, il soulage l’anxiété et réduit les troubles du sommeil 

",https://anais.tn/produit/activ-harmonivit-30-comprimes/,https://anais.tn/wp-content/uploads/2020/05/harmonivit-1-600x600-1.png,Complements
AKTIV HYALURON DOPPEL 30 GÉLULES,64.546 TND TTC,"

Pour une peau plus ferme et plus lisse
Avec l’âge, la peau perd de son élasticité et de sa résistance car la synthèse du collagène et de l’acide hyaluronique, deux constituants-clé du derme, diminue.
L’acide hyaluronique est particulièrement important pour la structure du derme : en formant de long polymères qui fixent une grande quantité d’eau, il contribue à une bonne hydratation du tissu. 
Ceci a une conséquence sur l’aspect de la peau : plus le derme est hydraté, moins les rides sont profondes.
La peau apparait ainsi plus lisse à la vue et au toucher. 
C’est pour cette raison qu’on dit que l’acide hyaluronique aide à combler les rides.

",https://anais.tn/produit/hyaluron-aktiv-doppel-30-gelules/,https://anais.tn/wp-content/uploads/2021/09/doppelherz-hyaluron-aktiv-30-gelules-min-min.jpg,Complements
AKTIV MAGNESIUM VITAMINES  30  COMPRIMES,29.900 TND TTC,"

Le magnésium est un minéral vital.
 Il participe à la constitution des os et à la transmission des influx nerveux aux muscles. 
Une mauvaise alimentation, une consommation accrue de café ou de thé et la pratique intensive de sport peuvent conduire à une carence en magnésium. 
Le magnésium d’Aktiv Doppelherz® aide à: 
Soulager les crampes Atténuer les douleurs musculaires et osseuses Prévenir les troubles du rythme cardiaque Prévenir les migraines ophtalmiques Réduire la fatigue 

",https://anais.tn/produit/aktiv-magnesium-vitamines-30-comprimes/,https://anais.tn/wp-content/uploads/2020/05/magnésiuet-vitamines.png,Complements
AKTIV MEMOVIT 30 GELULES,30.950 TND TTC,"

Combinaison de lécithine, de vitamine E et de vitamines B élaborée pour soutenir le métabolisme et le fonctionnement des cellules nerveuses, la transmission de l‘influx nerveux et la communication entre les neurones. 
Mémovit® vous aide à : Bien mémoriser Rester vif et concentré .

",https://anais.tn/produit/aktiv-memovit-30-gelules/,https://anais.tn/wp-content/uploads/2020/05/Memovit-1-600x600-1.png,Complements
