title,price,description,link,Image,categorie
ACM DÉPIWHITE LAIT CORPS,58.049 TND TTC,"Il assure une hydratation de très longue durée, apaise les sensations de tiraillements et restaure le confort cutané. Hydratant intense et durable, ce lait corps bénéficie d’une texture fluide, non grasse, facile à appliquer après la douche. Pour une peau souple et soyeuse à tout âge. Son action éclaircissante complémentaire grâce à une association d’actifs végétaux permet de freiner la surproduction de mélanine d’éclaircir et d’homogénéiser l’aspect de la peau.",https://anais.tn/produit/acm-depiwhite-lait-corps/,https://anais.tn/wp-content/uploads/2020/10/1-1-min.jpg,Corps
ACM NOVOPHANE CRÈME DES ONGLES,26.790 TND TTC,"Facile à appliquer, la crème pénètre rapidement en laissant un film à la surface de l’ongle qui le protège de la déshydratation. Il permet de nourrir et d’hydrater l’ongle. Sa richesse en actifs permet d’apporter à l’ongle plus de résistance et de souplesse.",https://anais.tn/produit/acm-novophane-creme-des-ongles/,https://anais.tn/wp-content/uploads/2020/10/3760095250519-min.jpg,Corps
ADERMA CRÈME DE SOIN 50ML,27.990 TND TTC,"Soin hydratant, nourrissant et apaisant des peaux délicates de toute la famille.La Crème de soin A-DERMA nourrit et apaise les peaux fragiles et délicates de toute la famille.Crème fondante sans effet gras ni collant, non comédogène avec une action de restauration du film hydrolipidique de la peau.Non parfumée",https://anais.tn/produit/aderma-creme-de-soin-50ml/,https://anais.tn/wp-content/uploads/2021/01/F00003063-p1.jpg,Corps
ADERMA CREME MAINS 50ML,20.400 TND TTC,"La Crème mains A-DERMA nourrit, répare, apaise les mains très sèches et agressées au quotidien.Formule naturelle avec 95 % d’ingrédients d’origine naturelle.",https://anais.tn/produit/aderma-creme-mains-50ml/,https://anais.tn/wp-content/uploads/2021/01/Aderma-creme-mains-avoine-rhealba-50ml.jpg,Corps
ADERMA EXOMEGA CONTROL HUILE LAVANTE EMOLIENTE ANTI GRATTAGE 200ML,28.980 TND TTC,"Aderma Exomega control est une huile lavante émolliente idéale pour l’hygiène quotidienne des peaux sèches à tendance atopique.Cette huile convient à toute la famille, même au nourrisson, permet de nettoyer en douceur le visage, le corps et les cheveux. Anti-grattage, sa formule nourrit et apaise la peau.",https://anais.tn/produit/aderma-exomega-control-huile-lavante-emoliente-anti-grattage-200ml/,https://anais.tn/wp-content/uploads/2020/10/Exomega-control-huile-lavante-emolliente-A-Derma-Flacon-min.jpg,Corps
ADERMA EXOMEGA CONTROL HUILE LAVANTE EMOLLIENTE BIODEGRADABLE 200ML,29.000 TND TTC,"L’Huile lavante émolliente EXOMEGA CONTROL nettoie, calme les sensations d’irritations et apaise les peaux sèches à tendance atopique. Véritable hygiène-soin, sa formule a été développée avec les mêmes actifs que les soins émollients EXOMEGA CONTROL pour aider à reconstruire la barrière cutanée et apaiser.",https://anais.tn/produit/aderma-exomega-control-huile-lavante-emolliente-biodegradable-200ml/,https://anais.tn/wp-content/uploads/2021/02/3282770106183-compressed-1.jpg,Corps
ADERMA EXOMEGA HUILE NETTOYANTE 200ML,22.990 TND TTC,"Hygiène-soin des peaux atopiques et très sèches au quotidien. Nourrisson, enfant, adulte.Texture émolliente et soyeuse.Adapté aux peaux les plus sèches.",https://anais.tn/produit/aderma-exomega-huile-nettoyante-200ml/,https://anais.tn/wp-content/uploads/2021/02/A-DERMA-EXOMEGA-HUILE-NETTOYANTE-ÉMOLLIENTE-200ML-compressed.jpg,Corps
ADERMA EXOMEGA LAIT EMOLLIENT 200ML,49.700 TND TTC,Le Lait émollient EXOMEGA CONTROL apaise toutes les peaux sèches à tendance atopique dès la naissance.,https://anais.tn/produit/aderma-exomega-lait-emollient-200ml/,https://anais.tn/wp-content/uploads/2021/02/3282770110166-exomega-control-lait-emollient-200-ml-compressed.jpg,Corps
ADERMA EXOMEGA LAIT EMOLLIENT 400ML,56.700 TND TTC,"Aderma Exomega le lait de corps pour les peaux atopiques et très sèches permet de réduire la sécheresse, Il calme les irritations et  les sensations de démangeaisons.Un soin émollient qui calme les sensations de démangeaisons et réduit la sécheresse des peaux atopiques et très sèches.Sa texture légère est adaptée pour les sécheresses modérées. Un lait particulièrement agréable à utliser lors des périodes printanières et estivales.",https://anais.tn/produit/aderma-exomega-lait-emollient-400ml/,https://anais.tn/wp-content/uploads/2020/10/3282770110173-a-derma-exomega-c-lait-emol-400ml-2x-min.jpg,Corps
ALANIA HUILE APAISANTE HYDRATANTE,33.200 TND TTC,"Riche en huiles essentielles d’eucalyptus et de lavande, le soin apaisant « Jardin Secret » favorise la régénération cellulaire, nourrit la peau et lui apporte de la souplesse.Grâce à sa riche teneur en vitamine E et à ses propriétés curatives, cicatrisantes, apaisantes et anti-inflammatoire, l’huile de germe de blé restaure la barrière de la peau, limite les rougeurs et les sensations de démangeaisons et protège contre les UV.",https://anais.tn/produit/alania-huile-apaisante-hydratante/,https://anais.tn/wp-content/uploads/2021/01/Présentation1-1.jpg,Corps
