title,price,description,link,Image,categorie
ADERMA EXOMEGA CONTROL HUILE LAVANTE EMOLIENTE ANTI GRATTAGE 200ML,28.980 TND TTC,"

Aderma Exomega control est une huile lavante émolliente idéale pour l’hygiène quotidienne des peaux sèches à tendance atopique.

Cette huile convient à toute la famille, même au nourrisson, permet de nettoyer en douceur le visage, le corps et les cheveux. 
Anti-grattage, sa formule nourrit et apaise la peau.

",https://anais.tn/produit/aderma-exomega-control-huile-lavante-emoliente-anti-grattage-200ml/,https://anais.tn/wp-content/uploads/2020/10/Exomega-control-huile-lavante-emolliente-A-Derma-Flacon-min.jpg,Autre
ADERMA EXOMEGA CONTROL HUILE LAVANTE EMOLLIENTE BIODEGRADABLE 200ML,29.000 TND TTC,"

L’Huile lavante émolliente EXOMEGA CONTROL nettoie, calme les sensations d’irritations et apaise les peaux sèches à tendance atopique. 
Véritable hygiène-soin, sa formule a été développée avec les mêmes actifs que les soins émollients EXOMEGA CONTROL pour aider à reconstruire la barrière cutanée et apaiser.

",https://anais.tn/produit/aderma-exomega-control-huile-lavante-emolliente-biodegradable-200ml/,https://anais.tn/wp-content/uploads/2021/02/3282770106183-compressed-1.jpg,Autre
ADERMA EXOMEGA HUILE NETTOYANTE 200ML,22.990 TND TTC,"

Hygiène-soin des peaux atopiques et très sèches au quotidien. 
Nourrisson, enfant, adulte.
Texture émolliente et soyeuse.
Adapté aux peaux les plus sèches.

",https://anais.tn/produit/aderma-exomega-huile-nettoyante-200ml/,https://anais.tn/wp-content/uploads/2021/02/A-DERMA-EXOMEGA-HUILE-NETTOYANTE-ÉMOLLIENTE-200ML-compressed.jpg,Autre
ADERMA SAVON DERMATOLOGIQUE 100G,20.700 TND TTC,"

Le Pain Dermatologique de Aderma est le pilier de l’hygiène quotidienne des peaux les plus délicates.

Une formule Sans savon et sans parfum, son format pratique peut être utilisé par toute la famille (enfants et adultes), sur le corps comme sur le visage grâce à son pH adapté à celui de la peau.


",https://anais.tn/produit/aderma-savon-dermatologique-100g/,https://anais.tn/wp-content/uploads/2020/10/a-derma-pain-dermatologique-100g-min.jpg,Autre
AVENE COLD CREAM PAIN SURGRAS 100G,23.400 TND TTC,"

Nettoie et nourrit votre peau tout en respectant la barrière cutanée.

",https://anais.tn/produit/avene-cold-cream-pain-surgras-100g/,https://anais.tn/wp-content/uploads/2020/07/avene-cold-cream-pain-surgras-visage-et-corps-peaux-sensibles-seches-a-tres-seches-100-g.jpg,Autre
AVENE HOMME GEL DE RASAGE 150 ML,31.900 TND TTC,"

Prévient les irritations et facilite la glisse de la lame pour un rasage confortable et précis, tout en douceur. 
Sans alcool.

",https://anais.tn/produit/avene-homme-gel-de-rasage-150-ml/,https://anais.tn/wp-content/uploads/2020/07/Gel-de-rasage-homme-flacon-150ml-10374_2_1435159338.jpg,Autre
AVENE TRIXERA NUTRITION PAIN COLD CREAM 100GR,22.800 TND TTC,"

Hygiène quotidienne pour toutes les peaux sensibles sèches à très sèches de la famille.
Nourrissons, enfants, adultes.

",https://anais.tn/produit/avene-trixera-nutrition-pain-cold-cream-100gr/,https://anais.tn/wp-content/uploads/2020/07/883be3940252e2d6cc81e9177de3fdc214362be8_8717828c4c834164da380c580d7ad7dd3094249.jpg,Autre
BIODERMA ATODERM HUILE DE DOUCHE 100 ML,28.300 TND TTC,"

Bioderma Atoderm Huile de Douche Ultra-Nourrissant 100ml  nettoie, relipide et apaise les peaux sensibles très sèches, irritées et atopiques. 
Cette huile est onctueuse et soyeuse, délicatement parfumée et non grasse. 
Sa mousse ultra légère a été spécialement conçue pour respecter les peaux les plus sensibles. 
La peau est satinée et ultra confortable.

",https://anais.tn/produit/bioderma-atoderm-huile-de-douche-100-ml/,https://anais.tn/wp-content/uploads/2021/01/Bioderma-huile-de-douche-100ml-min.jpg,Autre
BIODERMA ATODERM HUILE DE DOUCHE 200ML,52.990 TND TTC,"

24h d’hydratation et confort immédiat dès la douche .
 24h d’hydratation.
Ultra-nourrissant .
Anti-irritations .
Nettoie, relipide et apaise Cette huile est onctueuse et soyeuse, délicatement parfumée et non grasse.  
Sa mousse ultra légère a été spécialement concue pour respecter les peaux les plus sensibles.  
La peau est satinée et ultra confortable. 

",https://anais.tn/produit/bioderma-atoderm-huile-de-douche-200ml/,https://anais.tn/wp-content/uploads/2020/10/huile-de-douche-200ml.jpg,Autre
BIODERMA ATODERM INTENSIVE GEL MOUSSANT 500ML,52.990 TND TTC,"

Le gel nettoyant douceur, purifiant et anti-démangeaisons . 
Nettoie en douceur . 
 Apaise les sensations d’inconfort et les irritations . 
 Protège du dessèchement cutané . 
Excellente rinçabilité.

",https://anais.tn/produit/bioderma-atoberm-intensive-gel-moussant-500ml/,https://anais.tn/wp-content/uploads/2020/10/intensive-gel-moussant-500ml.jpg,Autre
