title,price,description,link,Image,categorie
-,26.680 TND TTC,"

Nettoie en douceur Apaise les sensations d’irritations Apporte un confort immédiat et durable pH physiologique, gel nettoyant sans savon. 
Gel hygiène intime spécifiquement conçu pour la toilette intime quotidienne du bébé et de l’enfant en cas d’inconfort.

",https://anais.tn/produit/8926/,https://anais.tn/wp-content/uploads/2020/05/Gel-hygiène-intime.jpg,BebeMaman
ADERMA CRÈME DE SOIN 50ML,27.990 TND TTC,"

Soin hydratant, nourrissant et apaisant des peaux délicates de toute la famille.
La Crème de soin A-DERMA nourrit et apaise les peaux fragiles et délicates de toute la famille.
Crème fondante sans effet gras ni collant, non comédogène avec une action de restauration du film hydrolipidique de la peau.
Non parfumée

",https://anais.tn/produit/aderma-creme-de-soin-50ml/,https://anais.tn/wp-content/uploads/2021/01/F00003063-p1.jpg,BebeMaman
AKTIV ACIDE FOLIQUE 30 COMPRIMES,26.650 TND TTC,"

Les femmes préparant une grossesse, les femmes enceintes et allaitantes et les personnes âgées sont le plus à risque de souffrir d’une carence en acide folique. 
Grâce à une combinaison de vitamines B, de vitamine C et de vitamine E, l’acide folique de Doppelherz® Aktiv est essentiel pour: 
La formation des globules rouges du sang Le renouvellement cellulaire La protection des cellules La prévention des anomalies de fermeture du tube neural Ces comprimés bénéficient de la technologie DEPOT qui permet la libération progressive des nutriments. 
Ils sont ainsi absorbés plus efficacement par l’organisme. 

",https://anais.tn/produit/aktiv-acide-folique-30-comprimes/,https://anais.tn/wp-content/uploads/2020/05/acide-folique.png,BebeMaman
AKTIV MATERNAVIT 30 GELULES,32.700 TND TTC,"

Les recherches scientifiques récentes montrent que l‘apport de certaines vitamines et certains minéraux dans les deux mois qui précèdent la conception agit positivement sur la santé du bébé.
 Ainsi la prise de calcium, de magnésium, de zinc et de vitamines B, en particulier l’acide folique, est recommandée .
Maternavit contient des vitamines et des minéraux essentiels pour un bon développement du foetus tel que l’Omega 3, l’acide folique, le fer, le calcium, l’iode, le magnésium, le zinc et les vitamines B..

",https://anais.tn/produit/aktiv-maternavit-30-gelules/,https://anais.tn/wp-content/uploads/2020/05/maternavit.png,BebeMaman
ALANIA PURETE+ VITAMINE C MOUSSE NETTOYANTE 150ML,,-,https://anais.tn/produit/alania-purete-vitamine-c-mousse-nettoyante-150ml/,https://anais.tn/wp-content/uploads/2021/07/alania-purete-vitamine-c-mousse-nettoyante-150ml.jpg,BebeMaman
ALMAFLORE HUILE D’AMANDE DOUCE 50ML,9.450 TND TTC,"

Visage:  Cette huile est destiné pour toutes les peaux : peaux sèches, ternes et même ridées. 
Elle peut être utilisé pour les enfants.
Cheveux: Elle est très utile pour les cheveux secs, rêches, crêpés, cassants et fourchus
Corps: Elle se présente comme une base pour les huiles corporelles nourrissantes et parfumées. Elle est également un très bon soin pour les mains.

",https://anais.tn/produit/almaflore-huile-damande-douce-50ml/,https://anais.tn/wp-content/uploads/2020/10/para-anais-amande-douce-min.jpg,BebeMaman
ALMAFLORE HUILE DE MASSAGE BEBE 125 ML,13.700 TND TTC,"

Naturellement bienfaisante, cette huile de massage apporte en douceur à votre bébé le réconfort et le soulagement nécessaires à son bien-être lors de la digestion

",https://anais.tn/produit/almaflore-huile-de-massage-bebe-125-ml/,https://anais.tn/wp-content/uploads/2020/10/lG3Dogmcr32iDsX9PjKJlIecQH49tHSYBhjzieCQ-compressed.jpg,BebeMaman
ALMAFLORE MOUSTIFLORE,11.120 TND TTC,"

Cet anti-moustique aide à éloigner les moustiques.
Il a une action répulsive avec une efficacité jusqu’à 7h sur les moustiques tigres, communs et tropicaux.

",https://anais.tn/produit/almaflore-moustiflore/,https://anais.tn/wp-content/uploads/2021/08/20210818_155211-removebg-preview-e1629299159668.png,BebeMaman
ALMAFLORE SERUM ANTI PSORIASIS 30ML,37.990 TND TTC,"

Ce sérum améliore l’érythème et normalise la rénovation épidermique.
Hydrate et purifie l’épiderme tout en régulant la sécrétion sébacée.

",https://anais.tn/produit/almaflore-serum-anti-psoriasis-30ml/,https://anais.tn/wp-content/uploads/2020/10/ALMAFLORE-Sérum-anti-psoriasis-30ML.jpg,BebeMaman
ALMAFLORE SÉRUM ANTI VERGETURES 30ML,42.550 TND TTC,"

Prévient l’apparition des vergetures, favorise la réduction des vergeture déjà installées et améliore l’élasticité de la peau.
 Ce soin raffermissant inédit à la prodigieuse capacité de tonifier la peau de l’intérieur grâce aux actifs ultra innovants de rose musquée qui gonflent les cellulites de l’épiderme et booste la réparation tissulaire.
La peau est rapidement densifiée et lissée, la silhouette est ferme et redessinée.

",https://anais.tn/produit/almaflore-serum-anti-vergetures-30ml/,-,BebeMaman
