title,price,description,link,Image,categorie
ACCU-CHEK ACTIVE 25 BANDELETTES,26.000 TND TTC,"

Tous les lecteurs de glycémie de la famille Accu-Chek Active utilisent des bandelettes conçues aux personnes qui ont besoin d’un système instantané et simple d’application de sang facile.
Les larges bandelettes touchables nécessitent un petit échantillon de sang de 1-2 micro litres. 
Alerte d’expiration: pour vous aider à garantir des résultats fiables, le lecteur vérifie la date d’expiration de la bandelette par le biais de la puce de calibration et vous alerte en cas où la bandelette est déjà expirée. 
Détection du sous-dosage: le système vous indique q’une quantité additionnelle de sang est requise. 
Possibilité de ré-dosage: avec les bandelettes Accu-Chek Active, le ré-dosage dans le lecteur est possible dans un délai de 5 secondes.
1 A vous de choisir Vous pouvez appliquer le sang sur la bandelette à l’intérieur ou en dehors du lecteur. Choisissez l’option qui vous convient. 
Double Contrôle visuel: ceci est possible en comparant la coloration de la fenêtre de contrôle de la bandelette avec les couleurs qui se trouvent sur le flacon.

",https://anais.tn/produit/accu-chek-active-25-bandelettes/,https://anais.tn/wp-content/uploads/2020/05/accu-chek-active-25-bandelettes.jpg,Autre
ACCU-CHEK ACTIVE 50 BANDELETTES,45.550 TND TTC,"

Tous les lecteurs de glycémie de la famille Accu-Chek Active utilisent des bandelettes conçues aux personnes qui ont besoin d’un système instantané et simple d’application de sang facile.
Les larges bandelettes touchables nécessitent un petit échantillon de sang de 1-2 micro litres.
Quand vous prenez une bandelette du flacon, n’oubliez pas de bien le fermer immédiatement en vue de conserver la qualité de la bandelette. 
1 Le ré-dosage en dehors du lecteur est possible dans 15 secondes.

",https://anais.tn/produit/accu-chek-active-bandelettes-50-bandelettes/,https://anais.tn/wp-content/uploads/2020/05/accuchek-50-1.jpeg,Autre
BIONIME BANDELETTES GLYCÉMIE 50PCS,42.900 TND TTC,"

Vous ne ressentez pas toujours les effets d’une hypoglycémie ou d’une hyperglycémie.
 Pour s’assurer du bon équilibre de votre diabète, il est nécessaire de mesurer régulièrement votre glycémie car elle varie chaque jour sous l’influence de différents facteurs (alimentation, activité physique, stress…).

",https://anais.tn/produit/bionime-bandelettes-glycemie-boite-25/,https://anais.tn/wp-content/uploads/2020/05/unnamed.jpg,Autre
BIONIME LANCETTES STÉRILES JETABLES,11.300 TND – 34.800 TND TTC,"

Les nouvelles lancettes de qualité Bionime Lancets offrent un confort maximum lors du prélèvement de sang.
 La pointe d’aiguille à triple biseau, traitée par polissage électrolytique, extrêmement aiguisée et dotée d’une surface particulièrement lisse, permet une piqûre quasiment indolore.
Bionime  Lancettes de haute qualité pour une utilisation quotidienne.
Pour un prélèvement sanguin optimal conçues pour rendre le prélèvement sanguin plus facile et plus confortable.
Diamètre d’aiguille 30G conçues pour utilisation avec l’autopiqueur Bionime et la plupart des autres dispositifs de prélèvement.

",https://anais.tn/produit/bionime-boite-de-lancettes-50-lancettes/,https://anais.tn/wp-content/uploads/2020/05/613646-bionime-lancet-50s-1-800Wx800H.jpg,Autre
MEDICARE THERMOMETRE FLEXIBLE,8.100 TND TTC,"


Thermomètre numérique avec pointe flexible.
Bip de fin (la mesure rectale dure environ 10 secondes).
Alarme qui se déclenche en cas de fièvre.


Étanche. Mémorisation de la dernière mesure de température.


",https://anais.tn/produit/medicare-thermometre-flexible/,https://anais.tn/wp-content/uploads/2020/11/anais-para-thermometre-min.jpg,Autre
ON CALL PLUS 25 BANDELETTE,23.900 TND TTC,"

Les bandes de remplissage avec action d’absorption permettent une application du sang aussi facile que possible.
Des bandelettes de test abordables dans un flacon permettent des tests fréquents.

",https://anais.tn/produit/on-call-plus-25-bandelette/,https://anais.tn/wp-content/uploads/2020/05/on-call-plus-bandelette-bt-50pcs.jpg,Autre
On CALL PLUS 50 BANDELETTES,37.500 TND TTC,"

Les bandes de remplissage avec action d’absorption permettent une application du sang aussi facile que possible.
Des bandelettes de test abordables dans un flacon permettent des tests fréquents.

",https://anais.tn/produit/on-call-plus-50-bandelettes/,https://anais.tn/wp-content/uploads/2020/05/on-call-plus-bandelette-bt-50pcs-1.jpg,Autre
ON CALL VIVID  50 BANDELETTE,44.000 TND TTC,"

Les bandes de remplissage avec action d’absorption permettent une application du sang aussi facile que possible.
Des bandelettes de test abordables dans un flacon permettent des tests fréquents.

",https://anais.tn/produit/on-call-vivid-50-bandelette/,https://anais.tn/wp-content/uploads/2020/05/unnamed-1.jpg,Autre
ON CALL VIVID BANDELETTE BOITE DE 25,24.034 TND TTC,"

Les bandes de remplissage avec action d’absorption permettent une application du sang aussi facile que possible.
Des bandelettes de test abordables dans un flacon permettent des tests fréquents.

",https://anais.tn/produit/on-call-vivid-bandelette-boite-de-25/,https://anais.tn/wp-content/uploads/2021/06/on-call-vivid-band-boite-de-25.jpg,Autre
ROSSMAX TENSIOMETRE AUTOMATIQUE,135.500 TND TTC,"







Détection de mouvement





Détection du brassard




Indication des risques d’hypertension




Détection de battements de coeur irreguliers (IHB)




Rappel du dernier numéro mémorisé




Une touche fonctionnement automatique




Brassard conique universel breveté sans latex




LCD Grande taille | 55 x 63 mm




Prise d’adaptateur




Calibrage à vie






",https://anais.tn/produit/rossmax-tensiometre-automatique/,https://anais.tn/wp-content/uploads/2020/11/unnamed-1.jpg,Autre
