title,price,description,link,Image,categorie
BIO GATRANA SPIRULINE SACHET PAILLETTES,27.800 TND – 45.100 TND TTC,"

La spiruline reconnue comme l’algue miracle est un super aliment qui se caractérise par sa concentration en protéine, vitamines, minéraux, oligo-éléments, acides gras essentiels et antioxydants et pauvre en calories.
Cette algue permet de tonifier le corps et optimiser la résistance de l’organisme tout en fortifiant le système immunitaire.
C’est un exceptionnel antioxydant, anti-inflammatoire et anti tumorale qui bloque la prolifération des cellules (CD4) tumorales.
Elle renforce l’immunité et protège des maladies infectieuses puisqu’elle stimule la production d’anticorps et de cytokines.
Elle a une influence positive sur la fabrication de globules rouges et purifie le sang .
La spiruline joue aussi un rôle dans la fluidification sanguine et la régulation de la tension artérielle par la baisse du taux de triglycérides.
Cette algue magnifique renforce la concentration et augmente l’endurance du corps due à sa richesse en valine (acide aminé essentielle).
Elle convient parfaitement aux sportifs car c’est un véritable concentrée d’énergie, qui par sa richesse en fer, en vitamine B12 et en béta carotène permet l’oxygénation des musclesapable des crampes et de la fatigue) et une récupération plus rapide suite à l’effort.
La spiruline est une parfaite source de protéine hautement assimilable qui participe à l’entretien et à la prise de masse musculaire.
Elle est l’accompagnement parfait des régimes amaigrissants.

",https://anais.tn/produit/bio-gatranaspiruline-sachet-paillettes-50g/,https://anais.tn/wp-content/uploads/2020/05/spiruline-biologique-en-paillettes-sachet-100g-bio-gatrana.jpg,Autre
BIO ORIENT GEL ALOE VERA 250ML,18.950 TND TTC,"

En complément alimentaire, le gel d’Aloe Vera apporte à votre corps des éléments nutritifs essentiels : acides aminés, minéraux, oligo-éléments, vitamines. Utilisé en cure, il tonifie et revitalise l’organisme.
Riche en enzymes, il facilite la digestion et améliore le transit en rééquilibrant la flore intestinale.
En application cutanée locale, le gel d’Aloe Vera possède une puissante action régénératrice et anti-inflammatoire. Il accélère le processus de régénération des tissus et favorise la cicatrisation. Il soulage et répare la peau en cas de brûlure, de coupure ou d’irritation.
Le gel d’Aloe Vera peut également être utilisé en soin du visage. Stimulant la régénération cellulaire, il hydrate, nourrit et protège le derme. Il redonne fermeté, santé et éclat à votre peau.

",https://anais.tn/produit/bio-orient-gel-aloe-vera-250ml/,https://anais.tn/wp-content/uploads/2021/04/bio-orient-gel-aloe-vera-250ml.jpg,Autre
BIO ORIENT VINAIGRE DE FIGUE DE BARBARIE 250ML,17.450 TND TTC,"

Aide-minceur efficace et naturel, le vinaigre de figue de barbarie stimule la perte de poids et affine la silhouette. 
Grâce à ses propriétés hypoglycémiantes, il régule l’appétit et aide à lutter contre le grignotage. 
Il stimule la flore intestinale et améliore la digestion, évitant ainsi les sensations de ballonnements et l’effet de ventre gonflé. 
Sa double action de brûle-graisse et draineur en fait l’allié idéal de votre rééquilibrage alimentaire. 
Sa saveur douce et fruitée en fait  un accompagnement sain, original et raffiné pour vos salades et vos plats.

",https://anais.tn/produit/bio-orient-vinaigre-de-figue-de-barbarie-250ml/,https://anais.tn/wp-content/uploads/2021/04/vinaigre-de-figue-de-barbarie-bio-250ml-bio-orient-compressed-1.jpg,Autre
BIOGATRANA REGULNAT 250ML,17.860 TND TTC,"

Le vinaigre de figue de barbarie diminue le taux cholestérol tout en intensifiant l’action des acides biliaires. 
ll force l’organisme à bruler d’avantage de graisse même en repos.
Il est reconnu par ses bienfaits contre le diabète de type II.
Il se présente comme un draineur doux puisqu’il draine l’excès d’eau piégé dans les tissus de l’organisme.
Il se caractérise par son action coupe faim, anti-diarrhée ou anti constipation.

",https://anais.tn/produit/biogatrana-regulnat-250ml/,https://anais.tn/wp-content/uploads/2021/04/biogatrana-regul-nat-250ml-500x500-removebg-preview-1-compressed.jpg,Autre
CANDYS GOUTTES 10 ML,3.110 TND TTC,"

Les gouttes de sucralose de sucrerie sont créées pour le plein plaisir de sucre.
L’édulcorant liquide a le goût du sucre, n’a aucun arrière-goût et est idéal pour réduire la consommation de sucre de toute la famille. 
Le sucralose n’est pas reconnu par notre organisme comme sucre ou glucide et n’a aucun effet sur le métabolisme. 
Les diabétiques et les individus conscients des calories peuvent en bénéficier.
 Le flacon compte-gouttes est emballé dans un emballage stérile et parfait pour les déplacements.
 La stabilité à la chaleur extrême permet également d’utiliser CandyS dans des boissons chaudes ou froides pour la cuisson et la cuisson.

",https://anais.tn/produit/candys-gouttes-10-ml/,https://anais.tn/wp-content/uploads/2021/04/candys-10ml-b-1-compressed-e1618496889264.jpg,Autre
EAFIT BELLYSLIM 120 GELULES,95.800 TND 89.100 TND TTC,"

Aide à réduire les ballonnements internes avec le charbon. 
Favorise la dégradation des lipides (Thé vert). 
Contribue au bon fonctionnement des enzymes digestives (Calcium). 
Formule complète : charbon, enzymes digestives, fibres, café vert. 
Complément alimentaire – Programme de 30 jours.

",https://anais.tn/produit/eafit-bellyslim-120-gelules/,https://anais.tn/wp-content/uploads/2020/10/bellyslim.jpg,Autre
EAFIT DRAIN DETOX 500 ML,98.950 TND TTC,"

Draineur détoxifiant permettant de réduire les excès d’eau, d’éliminer les toxines au niveau du foie et des reins tout en augmentant la thermogenèse pour brûler les graisses.

",https://anais.tn/produit/eafit-drain-detox-500-ml/,https://anais.tn/wp-content/uploads/2020/10/61ii5WD-EL-min.jpg,Autre
EAFIT FAT REGUL 90 COMPRIMÉS,93.850 TND 79.770 TND TTC,"

Recommandé pour «alléger» l’alimentation quotidienne, généralement trop riche en graisses. Pour être complètement efficace, un programme minceur se construit dans la durée et repose sur ces 3 critères essentiels :
ALIMENTATION ÉQUILIBRÉE.
ACTIVITÉS SPORTIVES
ACTION DES FORMULES

",https://anais.tn/produit/eafit-fat-regul-90-comprimes/,https://anais.tn/wp-content/uploads/2020/10/fatregul.jpg,Autre
EAFIT VEINOSVELT CIRCULATION FLACON 500ML,89.950 TND TTC,"

Aide à diminuer la sensation de jambes lourdes
Favorise l’élimination des capitons
Contribue à améliorer la microcirculation
Sans aspartame

",https://anais.tn/produit/eafit-veinosvelt-circulation-flacon-500ml/,https://anais.tn/wp-content/uploads/2020/10/2850903-8738587-thickbox-min.jpg,Autre
FORTÉ PHARMA CALORI LIGHT 30 GÉLULES,32.900 TND TTC,"

Forté Pharma CaloriLight 30 Gélules a été mis au point pour vous permettre de préserver une alimentation-plaisir tout en contrôlant vos calories.
 Grâce au Fibrocaptol, une association de fibres d’orange et de cacao, CaloriLight offre 3 actions synergiques pour contrôler durablement votre poids :

– capter directement les graisses de vos aliments et favoriser leur élimination,
– ralentir l’assimilation des sucres et le stockage des graisses,
– apporter une rapide sensation de satiété.
",https://anais.tn/produit/calori-light-30-gellules/,https://anais.tn/wp-content/uploads/2021/04/forte-pharma-calori-light-b30.jpg,Autre
