title,price,description,link,Image,categorie
ALMAFLORE AROMAX ROLL ON MIGRAINE 10 ML,12.850 TND TTC,"

Les 7 huiles essentielles du roller Maux de tête ont des vertus déstressantes, apaisantes, calmantes, relaxantes. Ce sont d’excellents agents équilibrants et harmonisant du système nerveux.
Elles ont aussi des propriétés toniques et stimulantes.
Elles aident à chasser « la sensation d’étau » si désagréable, à calmer le « stress », à apaiser les tensions de la tête, du cou et des épaules et à retrouver joie et bonne humeur !
Elles sont connues pour calmer la douleur et atténuer la nervosité.

",https://anais.tn/produit/almaflore-aromax-roll-on-migraine-10-ml/,-,Nature/Bio
ALMAFLORE ARTICALME DOULEURS ARTICULAIRES 50 ML,11.290 TND TTC,"

C’est une huile de massage concentrée pour traiter les douleurs articulaires et calmer les douleurs du nerfs sciatique.

",https://anais.tn/produit/almaflore-articalme-douleurs-articulaires-50-ml/,https://anais.tn/wp-content/uploads/2020/10/anais-almaflore-min.jpg,Nature/Bio
ALMAFLORE BAIN D’HUILES CHEVEUX : COMPLEXE 7 100ML,18.980 TND TTC,"

Ce bain de huile est composé de 7 Huiles, 7 composés Actifs ; l’huile d’amande Douce, huile de nigelle, huile de sésame, huile de Moutarde, huile de ricin et l’huile d’ortie et l’huile de romarin à Cineole.
Il est destiné pour cheveux secs, dévitalisés et cassants.
Les Bains aux huiles végétales sont parfaits pour soigner, nourrir, sublimer les cheveux même très secs, fourchus et abimés.
Ce soin apporte brillance, vigueur et douceur à vos cheveux.

",https://anais.tn/produit/almaflore-bain-dhuiles-cheveux-complexe-7-125ml/,https://anais.tn/wp-content/uploads/2020/10/bain-dhuile-500x500-min.jpg,Nature/Bio
ALMAFLORE HUILE D ORTIE 10ML,4.370 TND TTC,"

Pour la peau: Elle est idéale pour les peaux sèches puisqu’elle est nourrissante ,elle s’utilise également en cas d’eczéma.
Pour les cheveux: Elle favorise la croissance des cheveux tout en stimulant la circulation sanguine  il est conseillé de (faire un massage au niveau du cuir chevelu pendant quelques minutes).
 Elle se présente comme un antichute naturel. 
Elle fortifie et nourrit  les cheveux secs.

",https://anais.tn/produit/almaflore-huile-d-ortie-10ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-d-ortie-10-ml-min.jpg,Nature/Bio
ALMAFLORE HUILE D’AMANDE DOUCE 10ML,4.340 TND TTC,"

Visage:  Cette huile est destiné pour toutes les peaux : peaux sèches, ternes et même ridées. 
Elle peut être utilisé pour les enfants.
Cheveux: Elle est très utile pour les cheveux secs, rêches, crêpés, cassants et fourchus
Corps: Elle se présente comme une base pour les huiles corporelles nourrissantes et parfumées. Elle est également un très bon soin pour les mains.

",https://anais.tn/produit/almaflore-huile-damande-douce-10ml/,https://anais.tn/wp-content/uploads/2020/10/para-anais-amande-min.jpg,Nature/Bio
ALMAFLORE HUILE D’AMANDE DOUCE 50ML,9.450 TND TTC,"

Visage:  Cette huile est destiné pour toutes les peaux : peaux sèches, ternes et même ridées. 
Elle peut être utilisé pour les enfants.
Cheveux: Elle est très utile pour les cheveux secs, rêches, crêpés, cassants et fourchus
Corps: Elle se présente comme une base pour les huiles corporelles nourrissantes et parfumées. Elle est également un très bon soin pour les mains.

",https://anais.tn/produit/almaflore-huile-damande-douce-50ml/,https://anais.tn/wp-content/uploads/2020/10/para-anais-amande-douce-min.jpg,Nature/Bio
ALMAFLORE HUILE D’ARGAN 10ML,6.200 TND TTC,"

Visage: toutes peaux, peaux sèches, protection climatique (vent, froid, sécheresse)

Cheveux: secs et ternes, cassants, pellicules, colorés

Corps: base pour huiles corporelles nourrissantes et parfumées, soins des mains, ongles abimé

",https://anais.tn/produit/almaflore-huile-dargan-10ml/,https://anais.tn/wp-content/uploads/2020/10/anais-parapharmacie-argan-min.png,Nature/Bio
ALMAFLORE HUILE D’ARGAN 50ML,23.100 TND TTC,"

Visage: toutes peaux, peaux sèches, protection climatique (vent, froid, sécheresse)

Cheveux: secs et ternes, cassants, pellicules, colorés

Corps: base pour huiles corporelles nourrissantes et parfumées, soins des mains, ongles abimé

",https://anais.tn/produit/almaflore-huile-dargan-50ml/,https://anais.tn/wp-content/uploads/2020/10/para-anais-argan-min.jpg,Nature/Bio
ALMAFLORE HUILE D’ORTIE 50ML,13.290 TND TTC,"

Pour la peau: Elle est idéale pour les peaux sèches puisqu’elle est nourrissante ,elle s’utilise également en cas d’eczéma
Pour les cheveux: Elle favorise la croissance des cheveux tout en stimulant la circulation sanguine  il est conseillé de (faire un massage au niveau du cuir chevelu pendant quelques minutes)
 Elle se présente comme un antichute naturel
Elle fortifie et nourrit  les cheveux secs

",https://anais.tn/produit/almaflore-huile-dortie-50ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-d-ortie-30-ml.jpg,Nature/Bio
ALMAFLORE HUILE D’AIL 10 ML,4.100 TND TTC,"

Avec ses nombreux dérivés soufrés, l’ail conviendra particulièrement pour stimuler la croissance des cheveux crépus, à tendance à se casser plus facilement et à pousser plus lentement. 
Permet au cheveux crépus de pousser et réhydrate en profondeur les cheveux secs et cassants et recrée le phénomène de la kératisation.

",https://anais.tn/produit/almaflore-huile-dail-10-ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-d-ail-min.jpg,Nature/Bio
