title,price,description,link,Image,categorie
ATHENAX HERDEGEN OREILLER BAMBOU,118.000 TND TTC,"
OREILLERS ATHENAX, POUR UN SOMMEIL PAISIBLE

Cet oreiller physiologique ATHENAX HERDEGEN est composé d’une mousse viscoélastique et de charbon actif de bambou.


A mémoire de forme, ce coussin ergonomique vous apportera un grand confort lors de votre sommeil.

",https://anais.tn/produit/athenax-herdegen-oreiller-bambou/,https://anais.tn/wp-content/uploads/2020/11/oreillers-en-bambou-confort-souple-min.jpg,Autre
BATZ BORI BLUE,245.000 TND TTC,-,https://anais.tn/produit/batz-bori-blue/,https://anais.tn/wp-content/uploads/2020/06/bori-blue.jpg,Autre
BATZ EMILIA BLACK,245.000 TND TTC,-,https://anais.tn/produit/botz-emilia-black/,https://anais.tn/wp-content/uploads/2020/06/emilia-noir-1.jpg,Autre
BATZ ENI RED,207.000 TND TTC,-,https://anais.tn/produit/batz-eni-red/,https://anais.tn/wp-content/uploads/2020/07/eni-rouge.jpg,Autre
BATZ FC02 BEIGE,198.900 TND TTC,-,https://anais.tn/produit/batz-fc02-beige/,https://anais.tn/wp-content/uploads/2020/07/fc02-beige-e1593770530230.jpg,Autre
BATZ FC06 BEIGE,207.000 TND TTC,-,https://anais.tn/produit/batz-fc06-beige/,https://anais.tn/wp-content/uploads/2020/06/f07-beige-e1593370803399.jpg,Autre
BATZ FC07 BLUE,260.000 TND TTC,-,https://anais.tn/produit/batz-fc07-blue/,https://anais.tn/wp-content/uploads/2020/07/fc07-bleu2.jpg,Autre
BATZ FC07 POUDRÉ,260.000 TND TTC,-,https://anais.tn/produit/batz-fc07-nude/,https://anais.tn/wp-content/uploads/2020/06/fc07-poudré.jpg,Autre
BATZ LIA BLUE,245.000 TND TTC,-,https://anais.tn/produit/batz-lia-blue-2/,https://anais.tn/wp-content/uploads/2020/07/lia-bleu.jpg,Autre
BATZ MIKE BLACK,245.000 TND TTC,-,https://anais.tn/produit/batz-mike-black/,-,Autre
BATZ MIKE BRAUN,245.000 TND TTC,-,https://anais.tn/produit/batz-mike-braun/,https://anais.tn/wp-content/uploads/2020/07/mike-marron.jpg,Autre
CANNE CANADIENNE ADULTE,25.000 TND TTC,"

Poids de l »article: 0.45 kg—- Testé jusqu »à 130 kg—- Diamètre des tubes: 22 et 19 mm réglage de la poignée par rapport au sol: 72 cm mini, 96 cm maxi 

",https://anais.tn/produit/canne-canadienne-adulte/,https://anais.tn/wp-content/uploads/2020/11/anais-para-canne-adulte-min.jpg,Autre
CANNE QUADRIPODE,30.600 TND TTC,"

Les cannes de marche tripodes sont des dispositifs d’aide à la mobilité.
 Ces cannes sont équipées de 3 ou 4 pieds et offrent une meilleure stabilité par rapport à une canne classique. 
En utilisation, elles offrent un appui plus important et les risques de glisse sont limités par rapport à une canne classique. 
Au repos, lorsque la canne est posée, elle se maintient en position verticale sans que celle-ci ait besoin d’être appuyée sur un support.

",https://anais.tn/produit/canne-quadripode/,https://anais.tn/wp-content/uploads/2020/11/anais-para-canne-quadripode-min-e1633535510563.jpg,Autre
GIBAUD BANDOULIÈRE À POCHE,43.900 TND TTC,"

 Soutien du membre supérieur avec ou sans plâtre.
Réglage par boucle coulissante, Tissu aéré.

",https://anais.tn/produit/gibaud-bandouliere-a-poche/,https://anais.tn/wp-content/uploads/2020/09/gibaud-bandouillere-poche-1421257252-min.jpg,Autre
GIBAUD CEINTURE LOMBAIRE ANATOMIQUE 26CM,102.000 TND TTC,"

Lumbago – Sciatique, Lombalgie.
Port intermittent lors de travaux manuels ou d’activités à sollicitation lombaire importante, Fermeture auto-agrippante. 
Deux passants pour faciliter la mise en place de la ceinture.

",https://anais.tn/produit/gibaud-ceinture-lombaire-anatomique-26cm/,https://anais.tn/wp-content/uploads/2020/09/gibaud-ceinture-lombaire-anatomique-consiel_1422635208-min.jpg,Autre
GIBAUD CEINTURE THORACIQUE,89.800 TND TTC,"

Fracture de côte, Traumatisme costal.
Pression répartie sur la cage thoracique par 3 bandes élastiques, Fermeture auto-agrippante.

",https://anais.tn/produit/gibaud-ceinture-thoracique/,https://anais.tn/wp-content/uploads/2020/09/gibaud-6098-ceinture-thorax-homme-min.jpg,Autre
GIBAUD CEINTURE V DOUBLE SERRAGE 26CM,153.900 TND TTC,"

 Lumbago, Sciatique (port continu), Lombalgie (port intermittent lors du travail de force ou des activités de loisirs algiques).
Tissu aéré, Double serrage en fonction de l »intensité de la pathologie.

",https://anais.tn/produit/gibaud-ceinture-v-double-serrage-26cm/,https://anais.tn/wp-content/uploads/2020/09/gibaud-action-v-double-min.jpg,Autre
GIBAUD CHEVILLERE ANATOMIQUE,32.900 TND TTC,"

Douleurs musculaires ou tendineuses.
Séquelles de traumatisme.
Prévention des récidives lors du travail, du sport ou d’activités quotidiennes.

",https://anais.tn/produit/gibaud-chevillere-anatomique-2/,-,Autre
