title,price,description,link,Image,categorie
ALMAFLORE HUILE ESSENTIELLE D’ EUCALYPTUS GLOBULUS 10ML,13.000 TND TTC,"

Respiratoire,
Antibactérienne, expectorante,
Décongestionnante,
Antivirale, répulsive (insecte), antifongique, désodorisante.

",https://anais.tn/produit/almaflore-huile-essentielle-d-eucalyptus-globulus-10ml/,https://anais.tn/wp-content/uploads/2020/10/anais-eucalyptus-min.jpg,Complements
ALMAFLORE MOUSTIFLORE,11.120 TND TTC,"

Cet anti-moustique aide à éloigner les moustiques.
Il a une action répulsive avec une efficacité jusqu’à 7h sur les moustiques tigres, communs et tropicaux.

",https://anais.tn/produit/almaflore-moustiflore/,https://anais.tn/wp-content/uploads/2021/08/20210818_155211-removebg-preview-e1629299159668.png,Complements
BANDLUX 10 CM,10.300 TND TTC,"
Les compresses non stériles chirurgicales BANDLUX sont des compresses 100% coton de chèvre absorbant avec 22 t / cm².
",https://anais.tn/produit/bandlux-10-cm/,https://anais.tn/wp-content/uploads/2021/08/unnamed-1-min.jpg,Complements
BANDLUX COMPRESSES STERILES B/10,2.200 TND TTC,"

Les compresses stériles sont des compresses en toile de gaze en coton blanchi hydrophile 17 fils/cm2. Les compresses en sachet individuel sont stérilisées à la vapeur

",https://anais.tn/produit/bandlux-compresses-steriles-b-10/,https://anais.tn/wp-content/uploads/2021/08/unnamed-2-min.jpg,Complements
BIO ORIENT HUILE DE LIN 90ML,11.400 TND TTC,"

Assouplissante et régénérante, répare les peaux sèches.
 Rééquilibre les peaux acnéiques.
Traite les brûlures et les engelures cutanées.
 Contribue à la cicatrisation des plaies.
En massage, soulage les douleurs arthritiques.
Par voie orale, favorise l’équilibre hormonal et stimule le système immunitaire.

",https://anais.tn/produit/bio-orient-huile-de-lin-90ml/,https://anais.tn/wp-content/uploads/2020/05/huile-de-lin.jpg,Complements
BIO ORIENT HUILE DE MOUTARDE BIOLOGIQUE 10ML,3.890 TND TTC,"

Anti-inflammatoire, soulage les torticolis et autres inflammations.
 Décontracte les muscles des sportifs.
 Aide à la croissance des cheveux en stimulant le cuir chevelu et limite l’apparition des pellicules.
 Raffermit et réchauffe.

",https://anais.tn/produit/bio-orient-huile-de-moutarde-biologique-10ml/,https://anais.tn/wp-content/uploads/2020/05/huile-de-moutarde-biologique.jpg,Complements
BIO ORIENT HUILE DE MOUTARDE BIOLOGIQUE 90ML,31.190 TND TTC,"

Anti-inflammatoire, soulage les torticolis et autres inflammations.
 Décontracte les muscles des sportifs. 
Aide à la croissance des cheveux en stimulant le cuir chevelu et limite l’apparition des pellicules. 
Raffermit et réchauffe.

",https://anais.tn/produit/bio-orienthuile-de-moutarde-biologique-90ml/,https://anais.tn/wp-content/uploads/2020/05/huile-de-moutarde-biologique.jpg,Complements
BIODERMA ATODERM SOS SPRAY 200ML,75.900 TND TTC,"

Le réflexe anti-démangeaisons pour un apaisement immédiat . 
 Quelque soit la cause des démangeaisons, elles peuvent survenir à tout moment.  
Atoderm SOS Spray apaise les démangeaisons en 60 secondes pour une efficacité 6h.  
Sa texture ultra légère (émulsion huile dans eau) apporte une sensation de fraîcheur.  
 Sa formule se diffuse sous forme de micro-gouttelettes extra fines permettant une répartition homogène sur l’ensemble du corps et du visage.  
Application ultra-rapide, en un seul geste et 360° (idéal pour les zones inaccessibles).

",https://anais.tn/produit/bioderma-atoderm-sos-spray-200ml/,https://anais.tn/wp-content/uploads/2020/10/sos-spray-anti-demangeaisons-200ml-atoderm-bioderma-min.jpg,Complements
CANNE QUADRIPODE,30.600 TND TTC,"

Les cannes de marche tripodes sont des dispositifs d’aide à la mobilité.
 Ces cannes sont équipées de 3 ou 4 pieds et offrent une meilleure stabilité par rapport à une canne classique. 
En utilisation, elles offrent un appui plus important et les risques de glisse sont limités par rapport à une canne classique. 
Au repos, lorsque la canne est posée, elle se maintient en position verticale sans que celle-ci ait besoin d’être appuyée sur un support.

",https://anais.tn/produit/canne-quadripode/,https://anais.tn/wp-content/uploads/2020/11/anais-para-canne-quadripode-min-e1633535510563.jpg,Complements
CANNE TRIPODE,33.400 TND TTC,"

Les cannes de marche tripodes sont des dispositifs d’aide à la mobilité. 
Ces cannes sont équipées de 3 ou 4 pieds et offrent une meilleure stabilité par rapport à une canne classique. 
En utilisation, elles offrent un appui plus important et les risques de glisse sont limités par rapport à une canne classique.
 Au repos, lorsque la canne est posée, elle se maintient en position verticale sans que celle-ci ait besoin d’être appuyée sur un support.

",https://anais.tn/produit/canne-tripode/,https://anais.tn/wp-content/uploads/2020/11/anais-para-canne-min.jpg,Complements
"CLEA LINGETTES ANTIBACTERIENNES, DESINFECTANTES ET HYGIENIQUES 15 pcs",2.500 TND TTC,"

Vous protège, vous et votre enfant, des bactéries qui causent des maladies.
 Protège la peau contre les bactéries grâce à sa formule antiseptique spéciale.
Empêche les bactéries de se déposer sur la peau. 
Protège contre les risques d’infection à la maison, à l’école, dans la cour de récréation, à la maternelle ou à l’hôpital. 
Testé dermatologiquement, convient aux peaux sensibles Super doux et sain grâce à la structure polaire de haute qualité.

",https://anais.tn/produit/clea-lingettes-antibacteriennes-desinfectantes-et-hygieniques-15-pcs/,https://anais.tn/wp-content/uploads/2021/10/lingettes-antibacteriennes-desinfectantes-et-hygieniques-15-pcs-clea-min-e1634818687778.jpg,Complements
