title,price,description,link,Image,categorie
ACM DÉPIWHITE M TEINTÉ SPF50+ CRÈME PROTECTRICE TEINTÉE,54.590 TND TTC,"

Ce soin offre une très haute protection solaire teintée qui aide à prévenir l’apparition ou l’aggravation des taches pigmentaires type masque de grossesse.
Il contient une association unique de filtres solaires, de pigments et d’actifs protégeant des rayons UVB, UVA et agents réfléchissants possédant la particularité de protéger aussi contre la lumière violette et bleue. 
C’est une crème protectrice solaire teintée, à la texture fluide, photostable et résistante à l’eau ce qui est indispensable à une protection fiable, avec une forte persistance sur la peau.

",https://anais.tn/produit/acm-depiwhite-m-teinte-spf50-creme-protectrice-teintee/,https://anais.tn/wp-content/uploads/2020/10/acm-depiwhite-m-teinte-spf-50-min.jpg,Solaire
ACTINICA LOTION 80ML,68.750 TND TTC,"

Actinica Lotion du Laboratoire Galderma, est la première et la seule protection solaire dont l’efficacité a été cliniquement prouvée dans la prévention des cancers de la peau non-mélanome chez les personnes à risque.
Prévention des kératoses actiniques et des cancers non-mélanome chez les personnes à risque.
Prévention des allergies au soleil.
Convient aux peaux très intolérantes au soleil.
Très haute protection contre les UV.
Contient des filtres hautement photostables anti UVA et anti UVB.
Le produit est conditionné dans un flacon pompe doseur airless. Il permet une utilisation facile et un dosage précis (2mg/cm²).
Formule haute tolérance, sans parfum et sans PEG, convient aux peaux les plus sensibles.
Permet une hydratation et un soin durable de votre peau.
Texture crème fuide agréable et facile à étaler.
Résistant à l’eau.

",https://anais.tn/produit/daylong-actinica-lotion-80ml/,https://anais.tn/wp-content/uploads/2020/11/cremes-solaires-daylong-daylong-actinica-lotion-80ml-min-1.jpg,Solaire
ADERMA CRÈME ECRAN SOLAIRE SPF 50 150ML,52.450 TND TTC,"

Aderma Protect AD Crème Très Haute Protection SPF 50+ Sans Parfum 150 ml est une crème de très haute protection spécialement formulée pour les peaux à tendance atopique.


",https://anais.tn/produit/aderma-creme-ecran-solaire-spf-50-150ml/,https://anais.tn/wp-content/uploads/2020/10/aderma-creme-solaire-protect-ad-spf50-min.jpg,Solaire
AVENE FLUIDE SPF 50+ TUBE POMPE 50ML,48.900 TND TTC,"

Très haute protection solaire pour la peau sensible normale à mixte du visage.
Très large protection UVB-UVA. 
Photostable.

Toucher sec.

Existe en version « sans parfum ».

",https://anais.tn/produit/avene-fluide-spf-50-tube-pompe-50ml/,https://anais.tn/wp-content/uploads/2020/07/avene-solar-emulsion-spf-50-plus-50-ml.jpg,Solaire
AVENE HYDRANCE UV-LÉGÈRE EMULSION HYDRATANTE SPF30,44.780 TND TTC,"

Hydrater votre peau tout en la protégeant quotidiennement des UV, des radicaux libres et de la pollution. 
Sa texture légère au fini-mat laisse la peau douce, souple et lumineuse toute la journée.

",https://anais.tn/produit/avene-hydrance-uv-legere-emulsion-hydratante-spf30/,https://anais.tn/wp-content/uploads/2020/07/avene-hydrance-uv-legere-emulsion-hydratante-spf-30-40-ml-1-1.jpg,Solaire
"AVENE SOLAIRE SUNSIMED TRES HAUTE PROTECTION PEAUX SENSIBLES, 80ML",58.100 TND TTC,"

SunsiMed offre une réponse parfaitement adaptée aux peaux hypersensibles au soleil.
Grâce à son complexe phytoprotecteur exclusif, SunsiMed protège la peau au quotidien face au rayonnement solaire.
– Un système filtrant photostable pour une protection UVB – UVA optimale 
– Un puissant antioxydant, le Pré-tocophéryl, pour une protection cellulaire renforcée.
De l’eau thermale d’Avène, reconnue pour ses propriétés apaisantes et anti-irritantes.
Une efficacité démontrée conte les effets délétères du soleil.  

",https://anais.tn/produit/avene-solaire-sunsimed-tres-haute-protection-peaux-sensibles-80ml/,https://anais.tn/wp-content/uploads/2021/07/avene-sunsimed-.jpg,Solaire
AVENE SPRAY SPF 30,74.900 TND TTC,"

Haute protection des peaux sensibles.
 Efficace contre les UVB-UVA longs et courts. 
Sans paraben.
 Certifié UVA conforme. 
TRES résistant à l’eau. 
100% photostable.

",https://anais.tn/produit/avene-spray-spf-30/,https://anais.tn/wp-content/uploads/2020/07/spray-spf30.jpg,Solaire
BIO ORIENT HUILE DE CAROTTE  10ML,3.850 TND TTC,"

Apporte bonne mine à la peau.
Favorise le bronzage et permet à la peau de garder un joli hâle uniforme après une exposition au soleil.
Riche en antioxydants : prévient la peau des signes du vieillissement.
Assouplissant : maintient la structure élastique de la peau. 
Huiles bronzantes pour le corps.
Après soleil pour hydrater la peau et conserver un jolie hâle.
Prévention des signes du vieillissement cutané , soins de jour pour le visage.

",https://anais.tn/produit/bio-orient-huile-de-carotte-10ml/,https://anais.tn/wp-content/uploads/2020/05/huile-de-carotte.jpg,Solaire
BIO ORIENT HUILE DE CAROTTE 90ML,14.750 TND TTC,"

Apporte bonne mine à la peau.
Favorise le bronzage et permet à la peau de garder un joli hâle uniforme après une exposition au soleil.
Riche en antioxydants : prévient la peau des signes du vieillissement.
Assouplissant : maintient la structure élastique de la peau .
Huiles bronzantes pour le corps.
Après soleil pour hydrater la peau et conserver un jolie hâle.
Prévention des signes du vieillissement cutané , soins de jour pour le visage.

",https://anais.tn/produit/bio-orient-huile-de-carotte-90ml/,https://anais.tn/wp-content/uploads/2020/05/huile-de-carotte.jpg,Solaire
BIO-TACHES SOLAIRE ECRAN TEINTEE SPF50 50ML,52.980 TND TTC,"

BIO-TACHES Solaire teintée Sans parfum est une crème dépigmentant photo-protectrice.

",https://anais.tn/produit/bio-taches-solaire-ecran-teintee-spf50-50ml/,-,Solaire
