title,price,description,link,Image,categorie
ACM BORÉADE CL CRÈME LAVANTE 200ML,52.360 TND TTC,"

CE SOIN LAVANT DOUX HAUTE TOLÉRANCE NETTOIE SANS DESSECHER ET PURIFIE EN DOUCEUR LES PEAUX GRASSES A TENDANCE ACNÉIQUE, Y COMPRIS FRAGILISÉES PAR LES TRAITEMENTS DESSECHANTS.
Boréade CL assainit l’épiderme, régule l’excès de sébum et prévient l’apparition des imperfections grâce au complexe S.M.A. Sa formule ultra-douce respecte l’équilibre de la peau, apaise et procure une sensation de confort immédiat. 

",https://anais.tn/produit/acm-boreade-cl-creme-lavante-200ml/,https://anais.tn/wp-content/uploads/2021/02/boreade-cl-creme-lavante-1-compressed.jpg,Visage
ACM BOREADE SOIN LISSANT 40ML,47.600 TND TTC,"

CE SOIN DOUBLE ACTION, DESTINÉ AUX PEAUX ADULTES AVEC DE L’ACNÉ, CORRIGE LES IMPERFECTIONS PERSISTANTES (BOUTONS, COMÉDONS, …) ET LISSE LES PREMIÈRES RIDES.
Ce soin lissant, à la texture légère et soyeuse, possède une double action anti-acnéique et anti-âge. Son complexe triple action S.M.A. resserre les pores dilatés, diminue les points noirs et prévient l’apparition des imperfections qui perdurent après l’adolescence.
Le grain de peau est affiné grâce aux AHA à libération prolongée reconnus pour leur action exfoliante. Ce soin contient également une association d’hydrolysat de maca, de vitamine E et de vitamine C qui lisse les rides, réduit leur nombre, leur largeur et leur profondeur.

",https://anais.tn/produit/acm-boreade-soin-lissant-40ml/,https://anais.tn/wp-content/uploads/2021/02/boreade-sl-soin-lissant-compressed.jpg,Visage
ACM BOREADE SOIN SEBOREGULATEUR 40ML,41.300 TND TTC,"

CETTE CRÈME LÉGÈRE ET FRAÎCHE HYDRATE, MATIFIE ET AFFINE LE GRAIN DES PEAUX MIXTES A GRASSES POUR UNE PEAU SANS BRILLANCE TOUT AU LONG DE LA JOURNÉE.
Grâce à son complexe triple action S.M.A et aux poudres absorbantes, le soin séborégulateur matifiant Boréade M resserre les pores dilatés, limite l’excès de sébum et prévient l’apparition des imperfections. 
Cette crème, à la texture fraîche et légère, hydrate la peau tout en apaisant rapidement les sensations d’inconforts notamment provoquées par certains traitements.

",https://anais.tn/produit/acm-noviderm-boreade-soin-seboregulateur-40ml/,https://anais.tn/wp-content/uploads/2021/02/boreade-m-soin-seboregulateur-matifiant-compressed.jpg,Visage
ACM DÉPIWHITE ACTIVE GEL UNIFIANT ANTI TACHES,65.450 TND TTC,"

Grâce à son complexe Lumi-OX, association d’actifs dépigmentants et anti-oxydants qui limite la production de mélanine et accélère le processus naturel de dégradation de la mélanine, Dépiwhite ActiveGel favorise la disparition des taches et prévient l’apparition de nouvelles taches tout en protégeant la peau des radicaux libres.
 Le teint est unifié et plus lumineux.
 Avec sa texture légère et fondante, il pénètre rapidement et laisse la peau douce, plus éclatante et sans brillance pour répondre au besoin des peaux mixtes à grasses.

",https://anais.tn/produit/acm-depiwhite-activegel-gel-unifiant-anti-taches/,https://anais.tn/wp-content/uploads/2020/10/acm-depiwhite-active-gel-unifiant-anti-t-min.jpg,Visage
ACM DÉPIWHITE ADVANCED CREME INTENSIVE ANTI TACHES,60.930 TND TTC,"

Grâce à son association d’actifs spécifiques, Dépiwhite Advanced atténue ou élimine les taches brunes, limite leur réapparition et unifie la couleur du teint en régulant la production de mélanine, responsable des taches, par 3 actions synergiques 

",https://anais.tn/produit/acm-depiwhite-advanced-creme-intensive-anti-taches/,https://anais.tn/wp-content/uploads/2020/10/acm-depiwhite-advanced-creme-intensive-anti-taches-40-ml-face-min.jpg,Visage
ACM DEPIWHITE CRÈME INTENSIVE ANTI TACHES,54.980 TND TTC,"
Grâce à son association d’actifs spécifiques, Dépiwhite Advanced atténue ou élimine les taches brunes, limite leur réapparition et unifie la couleur du teint en régulant la production de mélanine, responsable des taches, par 3 actions synergiques :

Ralentissement de la production de mélanine
Élimination de la mélanine épidermique existante
Stimulation de la biodégradation de la mélanine

",https://anais.tn/produit/acm-depiwhite-creme-intensive-anti-taches/,https://anais.tn/wp-content/uploads/2021/01/ACMDEPIWHITECREMEDEPIGMENTANTEADVANCED40ML_1000x.jpg,Visage
ACM DÉPIWHITE GEL CONTOUR DE L’ŒIL,47.890 TND TTC,"

Dépiwhite Gel permet une prise en charge des principaux facteurs responsables de la formation des poches et des cernes autour de l’œil en activant, notamment, la micro circulation.

",https://anais.tn/produit/acm-depiwhite-gel-contour-de-loeil/,https://anais.tn/wp-content/uploads/2020/10/3760095250205-1-min.jpg,Visage
ACM DÉPIWHITE MASQUE,37.990 TND TTC,"

Grâce à son association d’actifs spécifiques, Dépiwhite Advanced atténue ou élimine les taches brunes, limite leur réapparition et unifie la couleur du teint en régulant la production de mélanine, responsable des taches, par 3 actions synergiques

",https://anais.tn/produit/acm-depiwhite-masque/,https://anais.tn/wp-content/uploads/2020/10/depiwhite-masque-pelliculable-eclaircissant-40ml-min.jpg,Visage
ACM DUOLYS CRÈME LÉGÈRE SOIN HYDRATANT ANTI-ÂGE 40ML,55.600 TND TTC,"

CE SOIN LUTTE CONTRE LE VIEILLISSEMENT CUTANÉ EN RENFORÇANT L’HYDRATATION DES PEAUX NORMALES À MIXTES.
Contrairement à ce que l’on pense parfois, les peaux mixtes à grasses sont souvent en manque d’hydratation. 
Mais il leur faut pour se réhydrater une texture légère qui ne les alourdisse pas.
 Grâce à Duolys légère les peaux mixtes à grasses peuvent retrouver leur taux d’hydratation idéale. 
Ce qui les rend plus fermes, plus lumineuses et plus douces. Il s’agit d’une émulsion à cristaux liquides qui favorise une meilleure pénétration des actifs hydratants.

",https://anais.tn/produit/acm-duolys-legere-soin-hydratant-anti-age-40ml/,https://anais.tn/wp-content/uploads/2021/02/duolys-legere-compressed.jpg,Visage
ACM DUOLYS CRÈME RICHE SOIN HYDRATANT ANTI-ÂGE 40ML,54.990 TND TTC,"

CE SOIN LUTTE CONTRE LE VIEILLISSEMENT CUTANÉ EN RENFORÇANT L’HYDRATATION DES PEAUX SÈCHES À TRÈS SÈCHES.
La déshydratation est une cause importante du vieillissement de la peau, notamment des peaux sèches qui ont tendance à se rider plus vite. 
Grâce à Duolys riche la peau retrouve son taux d’hydratation idéale, ce qui la rend plus ferme, plus lumineuse et plus douce. 
Il s’agit d’une émulsion à cristaux liquides qui favorise une meilleure pénétration des actifs hydratants.

",https://anais.tn/produit/acm-duo-creme-riche-40ml/,https://anais.tn/wp-content/uploads/2021/02/acm-duolys-riche-soin-hydratant-anti-age-40ml-compressed.jpg,Visage
